#lambda/nm	DC	C1
420.345	1501.8	1497.2
420.752	1538.8	1569.4
421.16	1610.2	1623.8
421.546	1665	1674
421.953	1745.6	1740.6
422.361	1798.4	1795.8
422.769	1886	1900.2
423.177	1949.8	1977.6
423.585	2053	2065.4
423.992	2131.2	2135
424.379	2217	2234.6
424.787	2329.4	2307.8
425.195	2409.2	2418.4
425.603	2519.2	2521.8
426.011	2635.2	2636
426.419	2765.8	2771.2
426.806	2889.6	2890.6
427.214	3009	3012
427.623	3151.6	3164.4
428.031	3289.2	3331.4
428.44	3456.6	3447
428.848	3650	3627
429.235	3784.4	3828
429.644	3983.2	3980.2
430.053	4140.2	4178.8
430.461	4386.8	4393.6
430.87	4602	4606.2
431.279	4778.6	4803.2
431.666	5025.6	5043.6
432.075	5266.2	5302
432.484	5512.2	5553.4
432.893	5768.8	5789
433.302	6068	6104.4
433.711	6352.2	6384
434.099	6615.6	6654
434.508	6915.4	6982.4
434.918	7200.2	7341.2
435.327	7543.8	7668.8
435.737	7916	8010.6
436.125	8256.8	8363.2
436.534	8630.8	8731.8
436.944	9043.6	9128.6
437.353	9372.8	9498.8
437.763	9825.2	9944
438.173	10201.6	10374.4
438.561	10610.4	10818.6
438.971	11069.4	11237.6
439.381	11546.6	11743.6
439.791	12080.8	12221.8
440.201	12515.2	12763.8
440.589	13091.8	13246.8
440.999	13628.4	13907.6
441.409	14178.4	14465.6
441.819	14783.2	15034
442.23	15487.6	15737.2
442.619	16137.6	16408.8
443.029	16814.2	17037.8
443.439	17578.2	17821.6
443.85	18304.6	18580.4
444.26	19178.4	19464.6
444.649	20007.4	20294.2
445.06	20945	21211.6
445.471	21857.6	22045.4
445.881	22866.6	23105
446.292	23931.8	24122.4
446.682	24930.4	25193.4
447.092	26032.6	26342.2
447.503	27211.4	27432.6
447.914	28366.2	28621
448.325	29536.8	29770.2
448.715	30790.8	31013.2
449.126	31903.2	32214.8
449.537	33087.4	33493.8
449.948	34258.4	34559.8
450.338	35376.2	35671.4
450.75	36622.4	36801.4
451.161	37563.6	37906
451.572	38484.4	38829.8
451.984	39361.8	39776.6
452.374	40235	40512.8
452.786	40897	41238.2
453.197	41529.8	41742.2
453.609	41861.8	42194
453.999	42093.8	42480.2
454.411	42152.6	42562.8
454.823	42254.4	42715.8
455.235	42164	42538
455.647	41832	42284.6
456.037	41504.8	41843.6
456.449	41067	41307.8
456.862	40399.6	40761.6
457.274	39682.2	40064.8
457.665	38820.2	39259
458.077	38062.8	38309
458.489	37116.2	37467.2
458.902	36155.4	36530.6
459.293	35124.6	35545
459.705	34130	34529.6
460.118	33171.8	33520
460.53	32215.8	32586.4
460.921	31295.4	31632.8
461.334	30433.2	30723.6
461.747	29535.8	29860.6
462.16	28743.6	29090
462.551	27977.2	28315.2
462.964	27195	27604
463.377	26593	26909.2
463.79	26019	26330.6
464.182	25472.8	25779
464.595	24970	25234.2
465.008	24473.6	24754.8
465.421	24005	24361.4
465.813	23582	23962
466.226	23252.6	23525.6
466.64	22881.4	23188.4
467.053	22516	22860.2
467.445	22227.8	22482.4
467.859	21773.8	22161.8
468.272	21471.4	21859
468.686	21106.2	21458.2
469.078	20840	21100.4
469.492	20434.8	20757.2
469.906	20091.2	20390.2
470.298	19647.4	20012.6
470.712	19326.4	19635.4
471.126	18948.8	19315.8
471.54	18532.8	18902.2
471.933	18122.8	18507.4
472.347	17738.4	18082
472.761	17265	17659
473.175	16900	17258.6
473.568	16538.4	16857.8
473.982	16160	16487.6
474.397	15780.6	16109.8
474.79	15421	15748.4
475.204	15080	15392.2
475.619	14737.4	15117.2
476.033	14469.2	14792.4
476.426	14152	14498.2
476.841	13914.4	14203.6
477.256	13635.4	13980.2
477.649	13398.6	13729.4
478.064	13183	13522
478.479	13024.6	13298.2
478.872	12867.4	13141.6
479.287	12745.6	12979.2
479.702	12564.6	12907.4
480.118	12525.4	12820.2
480.511	12450.4	12736.6
480.927	12359.2	12640.2
481.342	12336	12679.4
481.736	12274	12587.8
482.151	12207.4	12553
482.566	12261.4	12563
482.96	12268.6	12560
483.376	12301	12627.8
483.792	12305	12631.8
484.186	12363.4	12621
484.602	12375	12661
485.017	12417	12763.2
485.412	12521.2	12784.2
485.827	12551	12840.6
486.243	12626.8	12874.8
486.638	12710.4	12972.8
487.054	12730.8	13080.6
487.47	12845.2	13141.8
487.865	12989.2	13187.4
488.281	13097	13268.6
488.697	13172.4	13424.4
489.092	13270.2	13617.8
489.508	13358.6	13660
489.925	13483.8	13843.4
490.32	13648.6	13935
490.736	13800.8	14054.6
491.153	13931.2	14144.6
491.548	14150	14359
491.964	14284.6	14482.2
492.381	14428.4	14654.6
492.776	14598.2	14831
493.193	14794	15067.8
493.61	14995.6	15249.6
494.006	15192.8	15454.8
494.422	15411.4	15663.6
494.84	15656.6	15880.4
495.235	15805.6	16101.2
495.652	16072.2	16314.8
496.069	16269.4	16512
496.465	16539.2	16779.2
496.883	16793.4	17001
497.3	17088	17321
497.696	17348.8	17576.2
498.113	17661.4	17823.8
498.509	17937.2	18093.2
498.927	18122.4	18321.2
499.344	18404.8	18659.8
499.741	18667.4	18929.8
500.158	18941.6	19171.2
500.576	19160.8	19368.6
500.973	19446	19693.6
501.39	19790.2	19956.8
501.787	19979.8	20208.6
502.205	20272.6	20423.2
502.623	20492	20755.4
503.02	20775.6	20984
503.438	21051.6	21264.6
503.856	21313.8	21548
504.253	21532.4	21798.6
504.671	21859.8	22030.2
505.068	22077.2	22351
505.486	22400	22574.2
505.905	22624.8	22761.4
506.302	22854.8	23099.2
506.72	23112.2	23273.4
507.118	23338	23534
507.536	23616	23874.6
507.955	23847.6	24032.6
508.352	24066.8	24303
508.771	24346.4	24556.2
509.169	24603.6	24707
509.587	24770.4	25031.2
510.006	25076.4	25239.2
510.404	25256	25426
510.823	25549	25671
511.221	25714.8	25870.4
511.64	25970.6	26087.2
512.038	26146.4	26299
512.457	26395.4	26493.6
512.877	26577.8	26665.2
513.275	26745.8	26982
513.694	27013.8	27202.2
514.092	27204	27405.6
514.512	27441.8	27591.4
514.91	27668.6	27800
515.33	27801	27990.2
515.749	28008.6	28198.2
516.148	28217.2	28400.2
516.568	28411.6	28526
516.966	28602	28794.6
517.386	28807.8	28919.4
517.785	28979.6	29140.8
518.205	29190.4	29350.6
518.603	29389.6	29473.6
519.024	29541.4	29665.2
519.444	29759.4	29839
519.843	29916	29969
520.263	30012.6	30102.4
520.662	30204	30376.4
521.082	30403.6	30503.8
521.481	30530.8	30647
521.902	30674	30879.8
522.301	30901	30968.8
522.722	30979.8	31118.6
523.121	31163.2	31386.8
523.542	31382.4	31436
523.963	31450.8	31578.2
524.362	31492.2	31717.8
524.783	31686.2	31890.8
525.183	31801	31936.6
525.604	32063.4	32081.8
526.003	32204	32266.4
526.425	32215.8	32348.2
526.824	32383.4	32488.2
527.246	32497	32557.2
527.646	32590.8	32693.6
528.067	32698.4	32899.8
528.467	32910.8	33015.8
528.888	32991	33082.8
529.289	33060.6	33266.4
529.71	33251.4	33390
530.11	33366.8	33542.2
530.532	33458.2	33615.8
530.932	33613.6	33780.8
531.354	33776.6	33911.6
531.755	33877.6	34053
532.176	34054.6	34104.6
532.577	34141.8	34300.4
532.999	34383.2	34370.2
533.4	34444.6	34442
533.822	34517.2	34678.8
534.223	34719	34781.8
534.645	34861.4	34921.6
535.046	35028	35070.6
535.468	35113.2	35189.8
535.869	35361.6	35367.8
536.292	35471.8	35630
536.693	35717	35691.4
537.115	35779.4	35832.2
537.516	35962	36008
537.939	36060.6	36185.8
538.34	36247.2	36305
538.742	36368	36547.6
539.165	36549.6	36651.4
539.566	36687.6	36737.6
539.989	36925.6	36970.2
540.391	37013.6	37091
540.814	37106.4	37253
541.216	37252.8	37414
541.639	37534.8	37537.4
542.041	37658.6	37594.6
542.464	37697.6	37847.8
542.866	37918.6	38038.6
543.268	37943.8	38070.4
543.691	38061	38253
544.093	38323.6	38325.8
544.517	38437.8	38453.4
544.919	38483	38564
545.343	38647.8	38758.8
545.745	38772.6	38889.2
546.147	38888.8	38968
546.571	39003.6	39085.8
546.974	39108	39272
547.398	39347.6	39365.4
547.8	39514	39444
548.224	39493.6	39652.4
548.627	39739.4	39785.4
549.03	39868.2	39816
549.454	39981.2	40076
549.857	40072.4	40172.2
550.281	40138.2	40279
550.684	40293.2	40302
551.087	40480.6	40547.6
551.512	40567.2	40638.8
551.915	40735.2	40707.4
552.34	40783.4	40931.4
552.743	40954.6	40965.2
553.146	41141.6	41245.6
553.571	41227.6	41287.6
553.975	41367.8	41457.6
554.399	41479.8	41506
554.803	41625.6	41772.4
555.207	41744.4	41809
555.632	41849.2	41935.4
556.036	42099.6	42057.2
556.461	42171.4	42186.2
556.865	42167.4	42366.6
557.268	42435.4	42391.8
557.694	42667.4	42752.4
558.098	42654.2	42750.6
558.502	42858.6	42906.2
558.927	42973	43118.4
559.332	43082.6	43119.2
559.736	43193.2	43290
560.162	43404.4	43430.4
560.566	43515.2	43588
560.992	43700.2	43800.4
561.396	43904	43895
561.801	44100	44134.8
562.227	44107.2	44232.6
562.631	44331.2	44356.8
563.036	44374.6	44554.8
563.462	44566	44626.4
563.867	44808	44811.2
564.272	44912.6	45102.4
564.698	45053.4	45150.2
565.103	45292.6	45292.2
565.508	45452.2	45464.8
565.935	45621.8	45604.2
566.34	45730.2	45780.2
566.745	45980	45973
567.172	45964.8	46049.8
567.577	46137.8	46227.2
567.982	46310	46369.4
568.409	46487.2	46618.6
568.815	46643.2	46616.6
569.22	46679.8	46702.2
569.626	46885.6	46928
570.053	47025.4	47048.8
570.459	47129.2	47226.6
570.865	47380	47317.4
571.292	47511.4	47566
571.698	47576.8	47677
572.104	47667.6	47678.2
572.531	47844.8	47827.8
572.937	47964.2	48037.8
