1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
168960,000000	260,257422
169984,000000	260,340703
171008,000000	260,638984
172032,000000	260,818828
173056,000000	261,088906
174080,000000	261,318281
175104,000000	261,582813
176128,000000	261,715781
177152,000000	261,925000
178176,000000	262,078516
179200,000000	262,260469
180224,000000	262,444375
181248,000000	262,679453
182272,000000	262,729453
183296,000000	263,021406
184320,000000	263,183047
185344,000000	263,302031
186368,000000	263,452969
187392,000000	263,516641
188416,000000	263,647109
189440,000000	263,802734
190464,000000	263,978906
191488,000000	264,027109
192512,000000	264,195078
193536,000000	264,360859
194560,000000	264,422578
195584,000000	264,631328
196608,000000	264,734687
197632,000000	264,900625
198656,000000	264,944531
199680,000000	265,058672
200704,000000	265,302187
201728,000000	265,366094
202752,000000	265,457734
203776,000000	265,643281
204800,000000	265,804766
205824,000000	265,907422
206848,000000	265,958984
207872,000000	266,140937
208896,000000	266,150156
209920,000000	266,347109
210944,000000	266,320547
211968,000000	266,362813
212992,000000	266,548984
214016,000000	266,567031
215040,000000	266,637812
216064,000000	266,598437
217088,000000	266,707422
218112,000000	266,775781
219136,000000	266,871484
220160,000000	266,866406
221184,000000	266,948438
222208,000000	267,092031
223232,000000	266,962422
224256,000000	266,991172
225280,000000	267,168828
226304,000000	267,164063
227328,000000	267,230937
228352,000000	267,189453
229376,000000	267,342891
230400,000000	267,388125
231424,000000	267,428516
232448,000000	267,450469
233472,000000	267,549922
234496,000000	267,616797
235520,000000	267,531563
236544,000000	267,657266
237568,000000	267,710000
238592,000000	267,705469
239616,000000	267,700000
240640,000000	267,708359
241664,000000	267,787500
242688,000000	267,865547
243712,000000	267,819219
244736,000000	267,956406
245760,000000	268,015078
246784,000000	267,898437
247808,000000	267,935859
248832,000000	268,070781
249856,000000	268,099219
250880,000000	268,072969
251904,000000	268,153906
252928,000000	268,257656
253952,000000	268,231016
254976,000000	268,178203
256000,000000	268,169453
257024,000000	268,292422
258048,000000	268,264375
259072,000000	268,301250
260096,000000	268,303594
