1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
146432,000000	261,885703
147456,000000	262,345156
148480,000000	262,648984
149504,000000	262,966406
150528,000000	263,254141
151552,000000	263,545859
152576,000000	263,843828
153600,000000	264,141875
154624,000000	264,396953
155648,000000	264,585625
156672,000000	264,784375
157696,000000	265,033281
158720,000000	265,221875
159744,000000	265,450000
160768,000000	265,527891
161792,000000	265,745781
162816,000000	265,883281
163840,000000	266,241250
164864,000000	266,354922
165888,000000	266,510313
166912,000000	266,625703
167936,000000	266,879766
168960,000000	266,958828
169984,000000	267,093984
171008,000000	267,367109
172032,000000	267,521328
173056,000000	267,643906
174080,000000	267,862031
175104,000000	267,960625
176128,000000	268,000937
177152,000000	268,202266
178176,000000	268,181797
179200,000000	268,298594
180224,000000	268,541797
181248,000000	268,678984
182272,000000	268,692578
183296,000000	268,776484
184320,000000	268,903984
185344,000000	268,933828
186368,000000	269,052813
187392,000000	269,066250
188416,000000	269,249531
189440,000000	269,302500
190464,000000	269,510078
191488,000000	269,477891
192512,000000	269,476562
193536,000000	269,602656
194560,000000	269,776406
195584,000000	269,684063
196608,000000	269,754688
197632,000000	269,936328
198656,000000	270,003516
199680,000000	270,001953
200704,000000	269,987031
201728,000000	270,089922
202752,000000	270,169531
203776,000000	270,216328
204800,000000	270,457188
205824,000000	270,281719
206848,000000	270,300391
207872,000000	270,367891
208896,000000	270,264844
209920,000000	270,434141
210944,000000	270,564687
211968,000000	270,487891
212992,000000	270,417187
214016,000000	270,563672
215040,000000	270,724922
216064,000000	270,598672
217088,000000	270,699609
218112,000000	270,662500
219136,000000	270,659375
220160,000000	270,784453
221184,000000	270,658281
222208,000000	270,766875
223232,000000	270,678281
224256,000000	270,803281
225280,000000	270,836484
226304,000000	270,809141
227328,000000	270,783594
228352,000000	270,899297
229376,000000	270,853906
230400,000000	270,781328
231424,000000	270,948437
232448,000000	271,000547
233472,000000	270,981563
234496,000000	270,849531
235520,000000	270,966953
236544,000000	270,974219
237568,000000	270,985859
238592,000000	271,106797
239616,000000	271,046562
240640,000000	271,079219
241664,000000	271,164297
242688,000000	270,989219
243712,000000	271,098047
244736,000000	271,110625
245760,000000	271,030859
246784,000000	271,129844
247808,000000	271,204141
248832,000000	271,117187
249856,000000	271,045312
250880,000000	271,161875
251904,000000	271,157500
252928,000000	271,167578
253952,000000	271,249531
254976,000000	271,257109
256000,000000	271,201562
257024,000000	271,124609
258048,000000	271,266406
259072,000000	271,174766
260096,000000	271,133281
